cv_id,job_id,cv_level,cv_category,job_title,job_category,pool_methods,method_ranks,relevance_median_4model,relevance_mean_4model,relevance_median_no_cohere,relevance_mean_no_cohere,is_relevant_median_4model_ge5,is_relevant_median_no_cohere_ge5,range_relevance_4model,range_relevance_no_cohere,range_experience_4model,range_experience_no_cohere
bds_L1,1743a2dcca98410d0a7aaaf56dddb865,L1,Bất động sản,Nhân Viên Kinh Doanh Sale Môi Giới Bất Động Sản,Bất động sản,E2|E2t,"{""E2"": 9, ""E2t"": 6}",6.5,6.25,6.0,6.0,True,True,2.0,2.0,3.0,3.0
bds_L1,649e49a7851237ec04913b846e2760dd,L1,Bất động sản,"Nhân Viên Kinh Doanh Bất Động Sản - Lương Cứng Tới 15 Triệu, Data Có Sẵn – Gia Lâm , Hai Bà Trưng- Hà Nội",Bất động sản,E1,"{""E1"": 7}",6.5,6.75,7.0,7.3333,True,True,4.0,3.0,0.0,0.0
bds_L1,325c52f237e10d0d007b6066a766897d,L1,Bất động sản,Nhân Viên Admin,Bất động sản,E3|E3t,"{""E3"": 10, ""E3t"": 9}",5.0,4.75,5.0,4.6667,True,True,1.0,1.0,3.0,3.0
bds_L1,24470b97617841c1f85862f4c04ce539,L1,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E3t,"{""E3t"": 10}",3.0,2.75,3.0,2.6667,False,False,1.0,1.0,10.0,3.0
bds_L1,8ba40fb8a2477af3f82c61cf31fc52a5,L1,Bất động sản,"Chuyên Viên Tư Vấn Kinh Doanh Căn Hộ (Tại Văn Phòng) - Lương Cứng Upto 20 Triệu - Thu Nhập 50 - 100 Triệu, Hỗ Trợ Data - Quận Tân Bình (TPHCM)",Bất động sản,E1,"{""E1"": 10}",6.0,6.25,5.0,6.0,True,True,3.0,3.0,8.0,5.0
bds_L1b,16617adf17ee61ed74e69e567aa545ca,L1b,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E1|E2|E2t|E3t,"{""E1"": 1, ""E2"": 7, ""E2t"": 1, ""E3t"": 1}",3.5,3.5,4.0,3.6667,False,False,1.0,1.0,1.0,1.0
bds_L1b,580b0df34954e5d343727d450686f91f,L1b,Bất động sản,Nhân Viên Kinh Doanh Bất Động Sản,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 4, ""E2"": 1, ""E3"": 1, ""E2t"": 4, ""E3t"": 5}",6.0,6.25,6.0,6.3333,True,True,1.0,1.0,2.0,1.0
bds_L1b,0feeda23a58657fb3da9dd93842f8249,L1b,Bất động sản,"Sales/Telesales -B2C (Mảng Bất Động Sản, Bảo Hiểm)",Bất động sản,E2t|E3t,"{""E2t"": 5, ""E3t"": 2}",7.0,6.5,7.0,6.3333,True,True,2.0,2.0,2.0,1.0
bds_L1b,1743a2dcca98410d0a7aaaf56dddb865,L1b,Bất động sản,Nhân Viên Kinh Doanh Sale Môi Giới Bất Động Sản,Bất động sản,E2|E3|E2t,"{""E2"": 2, ""E3"": 5, ""E2t"": 6}",6.5,6.5,6.0,6.3333,True,True,1.0,1.0,2.0,1.0
bds_L1b,24470b97617841c1f85862f4c04ce539,L1b,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E2t,"{""E2t"": 2}",5.0,4.5,5.0,4.3333,True,True,2.0,2.0,3.0,1.0
bds_L1b,78c10740add5bc94b3d608e5e979156c,L1b,Bất động sản,"Chuyên Viên Kinh Doanh/ Sales/ Tư Vấn BĐS Nghỉ Dưỡng Có Kinh Nghiệm Tại Hà Nội, Có Lương Cứng, Thu Nhập 100tr ++",Bất động sản,E1|E2|E2t|E3t,"{""E1"": 2, ""E2"": 5, ""E2t"": 3, ""E3t"": 3}",6.0,6.0,5.0,5.6667,True,True,2.0,2.0,5.0,3.0
bds_L1b,e4af39928f83ab4fc2dbb5601bc0557a,L1b,Bất động sản,Senior Digital Marketing (Bất Động Sản) - 4N014,Bất động sản,E2|E3|E3t,"{""E2"": 6, ""E3"": 2, ""E3t"": 7}",2.0,2.25,2.0,2.3333,False,False,1.0,1.0,1.0,1.0
bds_L1b,4d6f55d0744ee2da133cfadc55656482,L1b,Bất động sản,Digital Marketing - Ngành Bất Động Sản,Bất động sản,E2|E3|E3t,"{""E2"": 4, ""E3"": 3, ""E3t"": 4}",5.5,5.75,5.0,5.6667,True,True,2.0,2.0,6.0,5.0
bds_L1b,4f09db46f0b55cc470a4be7f25a71a3d,L1b,Bất động sản,"Nhân Viên Kinh Doanh | Thu Nhập Đến 150 Triệu/Tháng, Hoa Hồng Đến 4.8% - Đà Nẵng, Huế",Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 3, ""E2"": 10, ""E3"": 8, ""E2t"": 7, ""E3t"": 6}",7.0,6.5,7.0,6.3333,True,True,2.0,2.0,1.0,0.0
bds_L1b,5bcd68d6f7eabe1e69f755a4d1b29b0a,L1b,Bất động sản,Nhân Viên Kinh Doanh/Tư Vấn/ Sales Bất Động Sản Hỗ Trợ 100% Data Marketing (Có Lương Cứng + Thưởng Nóng + Hoa Hồng Hấp Dẫn),Bất động sản,E2|E3,"{""E2"": 3, ""E3"": 7}",6.0,6.0,6.0,5.6667,True,True,2.0,1.0,2.0,1.0
bds_L1b,4fe0a256e114f9517886e0a353a56505,L1b,Bất động sản,PGĐ Phát Triển Sản Phẩm - Bất Động Sản,Bất động sản,E1|E3,"{""E1"": 7, ""E3"": 4}",2.0,2.25,2.0,2.0,False,False,1.0,0.0,3.0,1.0
bds_L1b,819c5742733cac05d94ad605843c09bb,L1b,Bất động sản,Giám Đốc Marketing Bất Động Sản,Bất động sản,E1|E3|E2t|E3t,"{""E1"": 5, ""E3"": 10, ""E2t"": 8, ""E3t"": 9}",2.0,2.25,2.0,2.0,False,False,1.0,0.0,2.0,1.0
bds_L1b,1db9bf2d6a3b671ffed2f2c63a7a688f,L1b,Bất động sản,Chuyên Viên Cao Cấp Truyền Thông Marketing Bất Động Sản (Upto 30tr),Bất động sản,E1|E3|E2t|E3t,"{""E1"": 6, ""E3"": 6, ""E2t"": 10, ""E3t"": 10}",4.0,3.75,4.0,3.6667,False,False,1.0,1.0,2.0,2.0
bds_L1b,9709af8ff8e3462b769c71dcc9cde317,L1b,Bất động sản,Chuyên Viên Kinh Doanh,Bất động sản,E2,"{""E2"": 8}",5.0,5.0,5.0,4.6667,True,True,2.0,1.0,2.0,2.0
bds_L1b,9ffbdf538230596381367c97689f8c9c,L1b,Bất động sản,Nhân Viên Kinh Doanh/Sales BĐS/Tư Vấn Bán Hàng - Phỏng Vấn Nhân Việc Ngay (Chế Độ Hấp Dẫn),Bất động sản,E3t,"{""E3t"": 8}",7.0,7.25,7.0,7.3333,True,True,1.0,1.0,2.0,2.0
bds_L1b,ccb43b4c51ee7b36b27fbe1a6b4099be,L1b,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E1,"{""E1"": 8}",4.0,4.0,4.0,4.0,False,False,2.0,2.0,2.0,1.0
bds_L1b,164c9b6b18e5e2fcde9efe9df36e89ce,L1b,Bất động sản,"Nhân Viên Kinh Doanh (Không Yêu Cầu Kinh Nghiệm, Lương Cơ Bản 8 - 15 Triệu, Hoa Hồng 45%, Được Đào Tạo, Chấp Nhận Sinh Viên Đang Chờ Bằng)",Bất động sản,E2,"{""E2"": 9}",6.5,6.5,6.0,6.3333,True,True,1.0,1.0,2.0,2.0
bds_L1b,aec1332725743a27f3ad83206c147a7c,L1b,Bất động sản,Chuyên Viên/Cộng Tác Viên Kinh Doanh,Bất động sản,E2t,"{""E2t"": 9}",5.0,4.75,5.0,4.6667,True,True,3.0,3.0,3.0,3.0
bds_L1b,db166cff858f94c89b79db31ac65cc36,L1b,Bất động sản,Chuyên Viên Chạy Ads (Google/TikTok/Facebook) Từ 5 Năm Kinh Nghiệm Bất Động Sản,Bất động sản,E1|E3,"{""E1"": 9, ""E3"": 9}",2.5,2.75,2.0,2.3333,False,False,2.0,1.0,2.0,2.0
bds_L1b,588eb4d939238cc5ac8916f0159a221a,L1b,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E1,"{""E1"": 10}",2.5,2.75,2.0,2.6667,False,False,2.0,2.0,2.0,2.0
bds_L2,977fab175ddb8388f706eeb3c008f647,L2,Bất động sản,Nhân Viên Kinh Doanh Bất Động Sản - Up To 20 Triệu - Làm Việc Tại TP.HCM Và Tây Ninh,Bất động sản,E1|E2|E2t|E3t,"{""E1"": 1, ""E2"": 10, ""E2t"": 1, ""E3t"": 2}",8.0,8.0,8.0,8.0,True,True,2.0,2.0,2.0,2.0
bds_L2,9ffbdf538230596381367c97689f8c9c,L2,Bất động sản,Nhân Viên Kinh Doanh/Sales BĐS/Tư Vấn Bán Hàng - Phỏng Vấn Nhân Việc Ngay (Chế Độ Hấp Dẫn),Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 4, ""E2"": 1, ""E3"": 1, ""E2t"": 2, ""E3t"": 1}",7.0,7.25,7.0,7.3333,True,True,1.0,1.0,2.0,2.0
bds_L2,2f34f3671773434fd9769f17d49bee32,L2,Bất động sản,Nhân Viên Kinh Doanh Biết Tiếng Trung Làm Việc Tại Nga,Bất động sản,E1|E2t|E3t,"{""E1"": 2, ""E2t"": 5, ""E3t"": 4}",5.5,5.75,5.0,5.3333,True,True,2.0,1.0,2.0,2.0
bds_L2,aec1332725743a27f3ad83206c147a7c,L2,Bất động sản,Chuyên Viên/Cộng Tác Viên Kinh Doanh,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 7, ""E2"": 2, ""E3"": 2, ""E2t"": 4, ""E3t"": 3}",6.0,6.0,6.0,6.0,True,True,2.0,2.0,2.0,2.0
bds_L2,1743a2dcca98410d0a7aaaf56dddb865,L2,Bất động sản,Nhân Viên Kinh Doanh Sale Môi Giới Bất Động Sản,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 10, ""E2"": 3, ""E3"": 3, ""E2t"": 7, ""E3t"": 8}",7.5,7.5,8.0,7.6667,True,True,1.0,1.0,2.0,2.0
bds_L2,24470b97617841c1f85862f4c04ce539,L2,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E2t|E3t,"{""E2t"": 3, ""E3t"": 5}",5.0,5.0,5.0,5.0,True,True,2.0,2.0,5.0,5.0
bds_L2,997e0cf32c912fc23d3e42ba162b31a8,L2,Bất động sản,Giám Đốc Kinh Doanh Bất Động Sản,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 3, ""E2"": 5, ""E3"": 6, ""E2t"": 6, ""E3t"": 6}",3.5,3.75,4.0,4.0,False,False,2.0,2.0,0.0,0.0
bds_L2,9709af8ff8e3462b769c71dcc9cde317,L2,Bất động sản,Chuyên Viên Kinh Doanh,Bất động sản,E2|E3|E2t|E3t,"{""E2"": 8, ""E3"": 4, ""E2t"": 8, ""E3t"": 7}",5.5,5.75,5.0,5.3333,True,True,2.0,1.0,2.0,1.0
bds_L2,d4165adb9e49d91a6aed89db6d179ff2,L2,Bất động sản,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bất Động Sản -Không Yêu Cầu Kinh Nghiệm - Thu Nhập Hấp Dẫn,Bất động sản,E1|E2|E3|E2t,"{""E1"": 9, ""E2"": 4, ""E3"": 8, ""E2t"": 10}",8.0,7.75,8.0,7.6667,True,True,1.0,1.0,4.0,4.0
bds_L2,580b0df34954e5d343727d450686f91f,L2,Bất động sản,Nhân Viên Kinh Doanh Bất Động Sản,Bất động sản,E2|E3|E2t,"{""E2"": 6, ""E3"": 5, ""E2t"": 9}",7.0,7.0,7.0,7.0,True,True,0.0,0.0,3.0,2.0
bds_L2,bedc5974e891ff9f9922f75b435f0fae,L2,Bất động sản,"Chuyên Viên Kinh Doanh Dự Án BĐS Cao Cấp - Lương Cứng Tới 15 Triệu - Hà Nội, Hồ Chí Minh",Bất động sản,E1,"{""E1"": 5}",7.5,7.5,8.0,7.6667,True,True,1.0,1.0,2.0,2.0
bds_L2,3fc1864d02a250235f066afa0507d202,L2,Bất động sản,Trưởng Phòng Kinh Doanh - Cho Thuê BĐS TM Và CN,Bất động sản,E1|E3|E3t,"{""E1"": 6, ""E3"": 7, ""E3t"": 9}",5.5,5.5,5.0,5.0,True,True,3.0,2.0,3.0,2.0
bds_L2,e43ade755d9156bda5212d5e23303442,L2,Bất động sản,Nhân Viên Kinh Doanh/Sales Bất Động Sản/ Nhân Viên Tư Vấn BĐS - Thu Nhập Trên 50 Triệu (Tự Do Thời Gian) - Nguồn Nhà/Nguồn Khách Có Sẵn,Bất động sản,E1|E2,"{""E1"": 8, ""E2"": 7}",7.5,7.5,8.0,7.6667,True,True,1.0,1.0,2.0,2.0
bds_L2,0feeda23a58657fb3da9dd93842f8249,L2,Bất động sản,"Sales/Telesales -B2C (Mảng Bất Động Sản, Bảo Hiểm)",Bất động sản,E2|E3,"{""E2"": 9, ""E3"": 9}",7.0,7.0,7.0,7.0,True,True,2.0,2.0,3.0,2.0
bds_L2,325c52f237e10d0d007b6066a766897d,L2,Bất động sản,Nhân Viên Admin,Bất động sản,E3t,"{""E3t"": 10}",5.0,4.5,5.0,4.3333,True,True,2.0,2.0,1.0,1.0
bds_L2,5bcd68d6f7eabe1e69f755a4d1b29b0a,L2,Bất động sản,Nhân Viên Kinh Doanh/Tư Vấn/ Sales Bất Động Sản Hỗ Trợ 100% Data Marketing (Có Lương Cứng + Thưởng Nóng + Hoa Hồng Hấp Dẫn),Bất động sản,E3,"{""E3"": 10}",7.0,7.0,7.0,7.0,True,True,0.0,0.0,3.0,3.0
bds_L2b,9ffbdf538230596381367c97689f8c9c,L2b,Bất động sản,Nhân Viên Kinh Doanh/Sales BĐS/Tư Vấn Bán Hàng - Phỏng Vấn Nhân Việc Ngay (Chế Độ Hấp Dẫn),Bất động sản,E2|E3|E2t|E3t,"{""E2"": 1, ""E3"": 1, ""E2t"": 4, ""E3t"": 2}",7.0,7.0,7.0,7.0,True,True,0.0,0.0,4.0,4.0
bds_L2b,fcffde807494f54c3d9b271c1223998b,L2b,Bất động sản,Chuyên Viên Phát Triển Dự Án,Bất động sản,E1|E2t|E3t,"{""E1"": 1, ""E2t"": 1, ""E3t"": 1}",4.5,4.5,5.0,4.6667,False,True,3.0,3.0,2.0,2.0
bds_L2b,24470b97617841c1f85862f4c04ce539,L2b,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E2|E3|E2t|E3t,"{""E2"": 4, ""E3"": 4, ""E2t"": 2, ""E3t"": 4}",6.5,6.25,7.0,6.3333,True,True,2.0,2.0,3.0,3.0
bds_L2b,4cf2d132dff97d8828c0a05df47cc8a6,L2b,Bất động sản,Chuyên Viên Phát Triển Dự Án,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 4, ""E2"": 5, ""E3"": 2, ""E2t"": 7, ""E3t"": 7}",5.5,5.5,5.0,5.0,True,True,3.0,2.0,3.0,1.0
bds_L2b,94f52ded04546246f02f55d4a6ab0b47,L2b,Bất động sản,Chuyên Viên Cao Cấp Quản Trị Giao Dịch,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 2, ""E2"": 2, ""E3"": 6, ""E2t"": 3, ""E3t"": 3}",5.5,5.0,6.0,5.0,True,True,3.0,3.0,3.0,3.0
bds_L2b,1bb0b12dd4d943c2075e123d11c3e361,L2b,Bất động sản,Trợ Lý Dự Án/Quản Lý Dự Án Lương Cứng Từ 10 - 15 Triệu + Hoa Hồng (Thu Nhập Không Giới Hạn) Tại Hà Nội Đi Làm Ngay,Bất động sản,E1|E2t|E3t,"{""E1"": 3, ""E2t"": 6, ""E3t"": 6}",7.0,6.75,7.0,6.6667,True,True,1.0,1.0,3.0,2.0
bds_L2b,aec1332725743a27f3ad83206c147a7c,L2b,Bất động sản,Chuyên Viên/Cộng Tác Viên Kinh Doanh,Bất động sản,E2|E3|E2t|E3t,"{""E2"": 3, ""E3"": 3, ""E2t"": 8, ""E3t"": 8}",7.0,6.75,7.0,6.6667,True,True,1.0,1.0,2.0,1.0
bds_L2b,75cf06301c2e8c9b972c8b78f587c7c4,L2b,Bất động sản,Thư Ký Kinh Doanh - Sale Admin Bất Động Sản,Bất động sản,E2|E3,"{""E2"": 7, ""E3"": 5}",6.5,6.25,6.0,6.0,True,True,2.0,2.0,4.0,0.0
bds_L2b,9709af8ff8e3462b769c71dcc9cde317,L2b,Bất động sản,Chuyên Viên Kinh Doanh,Bất động sản,E2|E3|E2t|E3t,"{""E2"": 8, ""E3"": 7, ""E2t"": 5, ""E3t"": 5}",7.0,7.0,7.0,7.0,True,True,0.0,0.0,2.0,2.0
bds_L2b,f4c2423944f7c3eccae86bdbd4a23b76,L2b,Bất động sản,Phó Giám Đốc Pháp Lý Dự Án - Kinh Nghiệm Từ 5 Năm - Cần Thơ,Bất động sản,E1|E2t|E3t,"{""E1"": 5, ""E2t"": 10, ""E3t"": 10}",3.0,3.5,3.0,3.6667,False,False,4.0,4.0,3.0,3.0
bds_L2b,1743a2dcca98410d0a7aaaf56dddb865,L2b,Bất động sản,Nhân Viên Kinh Doanh Sale Môi Giới Bất Động Sản,Bất động sản,E2|E3|E2t,"{""E2"": 6, ""E3"": 8, ""E2t"": 9}",7.0,7.0,7.0,7.0,True,True,2.0,2.0,4.0,1.0
bds_L2b,c196d43314af0340359c4d8d9d15dbb1,L2b,Bất động sản,Chuyên Viên Quản Lý Thiết Kế Quy Hoạch,Bất động sản,E1,"{""E1"": 6}",2.0,2.0,2.0,2.0,False,False,2.0,2.0,1.0,1.0
bds_L2b,165c8c535cd295ac48e366a93b862e80,L2b,Bất động sản,Trưởng Bộ Phận Pháp Lý Dự Án,Bất động sản,E1,"{""E1"": 7}",2.0,2.5,2.0,2.6667,False,False,2.0,2.0,2.0,1.0
bds_L2b,3fcb2bb13839a37ca86a42024a53c45b,L2b,Bất động sản,Nhân Viên Kinh Doanh Bán Nhà Phố/Sales Bất Động Sản/Nhân Viên Tư Vấn BĐS - Không Yêu Cầu Kinh Nghiệm - Được Đào Tạo Từ Đầu - Nguồn Nhà/Nguồn Khách Có Sẵn,Bất động sản,E1|E3,"{""E1"": 8, ""E3"": 10}",7.5,7.5,7.0,7.3333,True,True,1.0,1.0,6.0,6.0
bds_L2b,0cca897da51c7eff8e384cd219ceb9b0,L2b,Bất động sản,"Trưởng Phòng Kinh Doanh Bất Động Sản (Hỗ Trợ MKT) - LCB Từ 13 Triệu, Hoa Hồng Quản Lý 5% Từ 40 Triệu Đến 80 Triệu/Tháng",Bất động sản,E1,"{""E1"": 9}",7.0,7.0,7.0,7.0,True,True,0.0,0.0,2.0,2.0
bds_L2b,0feeda23a58657fb3da9dd93842f8249,L2b,Bất động sản,"Sales/Telesales -B2C (Mảng Bất Động Sản, Bảo Hiểm)",Bất động sản,E3t,"{""E3t"": 9}",6.5,6.5,6.0,6.3333,True,True,1.0,1.0,4.0,0.0
bds_L2b,580b0df34954e5d343727d450686f91f,L2b,Bất động sản,Nhân Viên Kinh Doanh Bất Động Sản,Bất động sản,E2|E3,"{""E2"": 9, ""E3"": 9}",6.5,6.5,6.0,6.3333,True,True,1.0,1.0,3.0,1.0
bds_L2b,8377c4c7bce316e47b1dbe51f880e103,L2b,Bất động sản,Nhân Viên Tư Vấn/ Sale Bất Động Sản- Hồ Chí Minh (Lương Cứng 8tr-20tr + Hoa Hồng Sản Phẩm),Bất động sản,E1,"{""E1"": 10}",7.0,7.25,7.0,7.0,True,True,1.0,0.0,3.0,1.0
bds_L2b,d4165adb9e49d91a6aed89db6d179ff2,L2b,Bất động sản,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bất Động Sản -Không Yêu Cầu Kinh Nghiệm - Thu Nhập Hấp Dẫn,Bất động sản,E2,"{""E2"": 10}",8.0,7.75,8.0,7.6667,True,True,3.0,3.0,6.0,6.0
bds_L3,4cf2d132dff97d8828c0a05df47cc8a6,L3,Bất động sản,Chuyên Viên Phát Triển Dự Án,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 4, ""E2"": 1, ""E3"": 1, ""E2t"": 5, ""E3t"": 5}",6.0,6.0,6.0,5.6667,True,True,2.0,1.0,1.0,1.0
bds_L3,fcffde807494f54c3d9b271c1223998b,L3,Bất động sản,Chuyên Viên Phát Triển Dự Án,Bất động sản,E1|E3|E2t|E3t,"{""E1"": 1, ""E3"": 8, ""E2t"": 1, ""E3t"": 1}",4.5,4.5,5.0,4.6667,False,True,3.0,3.0,2.0,1.0
bds_L3,24470b97617841c1f85862f4c04ce539,L3,Bất động sản,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,E2t,"{""E2t"": 2}",6.5,6.75,6.0,6.6667,True,True,2.0,2.0,1.0,1.0
bds_L3,94f52ded04546246f02f55d4a6ab0b47,L3,Bất động sản,Chuyên Viên Cao Cấp Quản Trị Giao Dịch,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 2, ""E2"": 3, ""E3"": 5, ""E2t"": 3, ""E3t"": 3}",7.0,6.5,7.0,6.3333,True,True,4.0,4.0,2.0,2.0
bds_L3,9ffbdf538230596381367c97689f8c9c,L3,Bất động sản,Nhân Viên Kinh Doanh/Sales BĐS/Tư Vấn Bán Hàng - Phỏng Vấn Nhân Việc Ngay (Chế Độ Hấp Dẫn),Bất động sản,E2|E3|E2t|E3t,"{""E2"": 4, ""E3"": 3, ""E2t"": 8, ""E3t"": 2}",8.0,8.0,8.0,8.0,True,True,0.0,0.0,4.0,4.0
bds_L3,aec1332725743a27f3ad83206c147a7c,L3,Bất động sản,Chuyên Viên/Cộng Tác Viên Kinh Doanh,Bất động sản,E2|E3|E2t|E3t,"{""E2"": 2, ""E3"": 2, ""E2t"": 4, ""E3t"": 4}",7.5,7.5,8.0,7.6667,True,True,1.0,1.0,1.0,1.0
bds_L3,1bb0b12dd4d943c2075e123d11c3e361,L3,Bất động sản,Trợ Lý Dự Án/Quản Lý Dự Án Lương Cứng Từ 10 - 15 Triệu + Hoa Hồng (Thu Nhập Không Giới Hạn) Tại Hà Nội Đi Làm Ngay,Bất động sản,E1|E2t|E3t,"{""E1"": 3, ""E2t"": 6, ""E3t"": 6}",7.0,7.25,7.0,7.3333,True,True,1.0,1.0,2.0,2.0
bds_L3,148e6c3719902859048b7c7284cba29d,L3,Bất động sản,Thủ Tục Và Chăm Sóc Khách Hàng,Bất động sản,E1|E3|E3t,"{""E1"": 7, ""E3"": 4, ""E3t"": 9}",5.0,5.0,5.0,5.0,True,True,2.0,2.0,2.0,2.0
bds_L3,d4165adb9e49d91a6aed89db6d179ff2,L3,Bất động sản,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bất Động Sản -Không Yêu Cầu Kinh Nghiệm - Thu Nhập Hấp Dẫn,Bất động sản,E2,"{""E2"": 5}",8.0,7.75,8.0,7.6667,True,True,1.0,1.0,4.0,4.0
bds_L3,f4c2423944f7c3eccae86bdbd4a23b76,L3,Bất động sản,Phó Giám Đốc Pháp Lý Dự Án - Kinh Nghiệm Từ 5 Năm - Cần Thơ,Bất động sản,E1|E2t|E3t,"{""E1"": 5, ""E2t"": 10, ""E3t"": 10}",4.5,4.75,5.0,5.0,False,True,4.0,4.0,3.0,2.0
bds_L3,2fd949bbe71fca29d40aafc6ed090946,L3,Bất động sản,Chuyên Viên Phát Triển Dự Án,Bất động sản,E3,"{""E3"": 6}",8.0,7.5,8.0,7.3333,True,True,2.0,2.0,2.0,1.0
